Skill,Skill Definition,Skill Type
Ability To Meet Deadlines,Capacity to complete a project or task by a predetermined date and time.,Behavioral
Acceptance Testing,Uses an engineering quality assurance process to measure how closely a particular output meets the specified requirements by way of feedback from end users.,Technical
Account Management,"Account management is the practice of developing and maintaining relationships with individual clients to retain, grow, and/or land new business.",Technical
Accounting Systems,Accounting Systems is a computer application that records and processes accounting transactions per business requirements.,Technical
Accounts Payable / Receivable,Accounts Payable refers to knowledge of bookkeeping methods to tracking payments a company owes to its suppliers in order to approve and process invoices. Accounts receivable are claims for payment held by a business for goods or services that have been ordered but remain unpaid.,Technical
Accruals,Accruals refers to the management of money earned or owed that impacts a company's net income even though the cash related to the transaction has not yet been transferred.,Technical
"Adobe Creative Cloud (InDesign, Illustrator, Photoshop, After Effects, Premiere Pro, etc.)","Capability to use Adobe Creative Cloud tools to create, edit, and manipulate digital images/content or design the aesthetics of an organization's identity, brand, or product.",Technical
Adult Learning Principles,"Uses self-direction, transformation, experiences, mentorship, mental orientation, motivation, and readiness to set up learning environments and help adults learn better.",Technical
Advertising Campaigns,"An advertising campaign is a series of advertisement messages that promote specific products, ideas and themes, and that maybe propagated through a broad range of communication channels.",Technical
Advising,"Provides counsel, offers opinions, makes recommendations, or gives notice to others.",Technical
Advocacy,Capacity to support or recommend an outcome on the behalf of others.,Behavioral
Agile Delivery Management ,Agile Delivery Management is a flexible and adaptive way of working that's ideal for projects that may require quick changes.,Technical
Agile Methodology,"Agile Methodology refers to knowledge of a strategy that breaks down a project into multiple phases and includes a continuous cycle of planning, executing, and evaluating.",Technical
Agile Tooling,Agile Tooling is the use of a visual workflow management tool to visually represent the steps in the team's process to move a work item from in progress to done. ,Technical
Aircraft Maintenance,Aircraft maintenance is a set of tasks required to safeguard the airworthiness of an aircraft or aircraft part.,Technical
Aircraft Records,"Creates and maintains records summarizing information about an aircraft's owner, security interests, and airworthiness.",Technical
Airframe & Powerplant (A&P) Certificate,"Qualified in the United States by the Federal Aviation Administration (FAA) to inspect, maintain, test, diagnose, and repair aircraft’s body, engine, and related components to ensure the safety of all parts for flying.",Certification / License
Airport Security,"Uses or follows standard techniques and methods to protect passengers, staff, aircraft, and airport property from harm, crime, terrorism, and other threats.",Technical
Airworthiness,Airworthiness is the measure and certification of an aircraft's ability to fly safely.,Technical
Algorithms,"Algorithms are specifications for performing calculations, processing data, and problem solving that can be replicated by humans or computers.",Technical
Applicant Tracking Systems,An applicant tracking system is a software application that facilitates recruitment and hiring processes.,Technical
Application Programming Interface (API),Application Programming Interface (API) refers to knowledge of coding that allows software applications to communicate with each other and connect to the internet.,Technical
Arbitration,Arbitration is a form of dispute resolution to resolve disputes outside the courts. The judgment is provided by one or more persons that are legally binding and enforceable in courts.,Technical
Atmospheric Dynamics,Atmospheric Dynamics is a branch of meteorology that studies motion systems in the layer of gases surrounding the Earth to understand the current state and predict future conditions.,Technical
Atmospheric Sciences,"Atmospheric science is the study of the physics and chemistry of the layers of gas that surround planets, such as the Earth, or moons.",Technical
Audit Planning,"Audit planning is the process of developing a strategy and an approach for the expected nature, timing, and extent of an audit.",Technical
Auditing,Auditing is an on-site inspection or examination of a process to ensure compliance with requirements.,Technical
"Authoring Tools (Articulate Storyline, Adobe Captivate & Camtasia Studio)",Capability to use software and technology to manage student information or classrooms or create learning content for teaching or self-learning and to make education more effective and efficient,Technical
"Automation/Automation Process (CI/CD, Automation Testing) ",Automation refers to the knowledge of technologies that minimize human intervention in processes.,Technical
Aviation Knowledge,Aviation characterizes activities surrounding mechanical flight and the aircraft business.,Technical
Aviation Safety,"Aviation Safety refers to knowledge of the theory, practice, investigation, and categorization of flight and aviation system failures and the prevention of failures through regulation, education, and training.",Technical
Benefits Administration,Benefits Administration within the human resources function manages the employee benefits program for an organization.,Technical
Benefits Enrollment Processes,Benefits Enrollment Processes are procedures related to a period when employees can enroll in company offered benefits.,Technical
Blended Learning,Blended learning combines traditional in-person classroom methods with online educational approaches.,Technical
Brand Marketing,"Brand marketing is the process of developing brand awareness, and building and maintaining a brand's reputation.",Technical
Branding,"Branding refers to knowledge of strategies that communicate the unique selling proposition of a company, product, or service apart from the competition.",Technical
Budgeting,Budgeting is developing a financial plan to forecast revenue and expenses and to allocate funds for a defined future period.,Technical
Business Analysis,Business analysis involves identifying business needs and finding solutions to meet them.,Technical
Business Assessment,"Knowledge of the activities, tasks, practices and deliverables for assessing and documenting business opportunities; ability to assess the benefits, risks, and success factors of potential applications to find solutions to meet the business needs.",Technical
Business Development,Business development uses tasks and processes to develop and implement growth opportunities within and between organizations.,Technical
Business Intelligence,"Business Intelligence allows organizations to identify trends, assess strengths and weaknesses against competitors, and detect business problems to provide insight as to where risks and opportunities exist.",Technical
Business Performance Management,Business performance management is a set of processes and metrics that an organization uses to achieve one or more of its goals.,Technical
Business Process Improvement,"Redesigns, optimizes, analyzes, or implements business processes to increase effectiveness and efficiency across the organization and to ensure the organization can quickly adapt to technology changes or consumer preferences.",Technical
Business Process Mapping,Business process mapping is a method that helps to define how a business function must operate to meet objectives.,Technical
Business Process Modeling,"Business process modeling is the activity of representing and analyzing the processes of an enterprise, so that they may be optimized and automated.",Technical
Capacity Planning,Capacity planning is intended to determine what resources are necessary to meet organizational goals.,Technical
Capital Expenditure,"Capital expenditure is the money an organization spends in order to buy, maintain, or improve its fixed capital assets.",Technical
Capital Markets,Capital markets are financial markets in which financial securities and assets are traded.,Technical
Cash Flow Forecasting,"Cash flow forecasting is the process of forecasting the future financial position of a company, primarily using expected payments and receivables inform the cash flow forecast.",Technical
Cash Management,"Cash management is a broad area of finance that covers the collection, handling, and usage of cash and involves assessing market liquidity, cash flow, and investments.",Technical
Certified Public Accountant,Certified public accountant is the title for qualified accountants in numerous countries in the English-speaking world.,Certification / License
Change Control,"Change control is a process that ensures proposed changes are adequately defined, reviewed and approved before implementation.",Technical
Change Management,Change Management is the application of a structured process and a set of tools for leading the people side of change to achieve the desired outcome.,Technical
Circuit Design,"Circuit design is the process of working out the physical form that an electronic circuit will take, creating instructions on how to construct the physical, electronic circuit.",Technical
Cloud Computing,"Cloud Computing refers to the knowledge of the concepts, technologies and services of cloud computing; ability to design, deploy and implement cloud computing solutions in various business environment.",Technical
Cloud Infrastructure,Cloud infrastructure refers to the hardware components and resources needed to deliver cloud computing services via the internet.,Technical
Cloud Security,"Capability to protect and secure data, applications, and resources hosted in a cloud environment, including understanding various cloud service models, their associated security risks, and implementing measures to mitigate risks.",Technical
Coaching,Coaching aims to improve the effectiveness of individuals within organizations with the goal of enhancing organization productivity.,Technical
Collaboration,Capacity to effectively work with two or more people to complete a task or achieve a goal.,Behavioral
Collective Bargaining,"Collective bargaining is a process by which trade unions negotiate with employers, on behalf of their members, to create agreements which regulate salaries, benefits, working conditions, and other aspects of workers' compensation and rights.",Technical
Communication Planning,Communication Planning is a business activity that leads to creating strategy and project plans to meet communication objectives.,Technical
Compensation Analysis,"Compensation analysis assesses the competitiveness of an organization's pay practices for individual jobs, groups of jobs, or all jobs in the organization to the external labor market.",Technical
Compensation Strategy,"Compensation Strategy is how a company decides to pay their employees for the value they contribute. The strategy is typically formed by reviewing employee pay with industry benchmark data, regulatory factors, and other trends to lay out the organization's point of view on how you will determine pay and benefits for their employees.",Technical
Competitive Analysis,Competitive analysis is a strategic process that identities product offerings and sales tactics that directly or indirectly complete with what the company offers.,Technical
Complex Problem Solving,"Capacity to frame problems and issues with high ambiguity, abstraction, and/or computational rigor by applying constraints, assumptions, and understanding of requirements to solve the problem in a timely matter.",Behavioral
Compliance Training,"Compliance training is the education of employees on the laws, regulations and company policies that apply to their job responsibilities.",Technical
Composure,Capacity to maintain calmness of mind and to control emotional or mental anxiety in stressful situations.,Behavioral
Configuration Management,"Configuration management is a systems engineering process that aims to define and maintain the performance, function and physical attributes of a product.",Technical
Conflict Resolution,"Conflict resolution is a set of methods and processes including negotiation, mediation, and diplomacy by which two or more parties reach a peaceful resolution to a dispute.",Technical
Consolidation,Consolidation is the financial accounting practice of aggregating the financial statements of a parent company and its subsidiaries.,Technical
Consultative Selling,Capacity to use a service-oriented sales strategy that prioritizes open dialogue and relationships to deliver solutions that satisfy customer needs.,Behavioral
Consulting,Consulting is the practice of advising and influencing organizations on business issues and how to solve them.,Technical
Continuous Improvement Process,"Continuous improvement process is an ongoing effort that improves products, services, or processes. These efforts can be set up to either have an incremental improvement over time or breakthrough improvements all at once.",Technical
